spotify.genre,artist.id,artist.image
pop,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,https://i.scdn.co/image/09e0720e919c908765aa64678a6ad8aac37659f6
rock,spotify:artist:6GI52t8N5F02MxU0g5U69P,https://i.scdn.co/image/9d7f889a472b254993c17104d66ac2639177e16c
pop rock,spotify:artist:3NRFinRTEqUCfaTTZmk8ek,https://i.scdn.co/image/02c28d987084927abb275408965e39794a05d60c
pop,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://i.scdn.co/image/e49c3d4c0607fe0a35c45d7f29a9aaf082263d3d
pop,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,https://i.scdn.co/image/73fcc215af53b21e738e94e7de4199bd0f7aadee
pop,spotify:artist:4qwGe91Bz9K2T8jXTZ815W,https://i.scdn.co/image/865e7c8d46c494aeb926c64d6a1f25ce6b72767e
pop,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,https://i.scdn.co/image/09e0720e919c908765aa64678a6ad8aac37659f6
pop,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,https://i.scdn.co/image/b9ba677eff8e8e1d1534464064f055af14e94ecd
r&b,spotify:artist:6x9QLdzo6eBZxJ1bHsDkjg,https://i.scdn.co/image/65c4f2d897d65c2236ddc7ab761887910f8ac02f
country,spotify:artist:3qbnxnvUqR14MJ9g8QwZJK,https://i.scdn.co/image/4461d0d364a545ab2b00ac3a1a64604e49c14f8c
pop,spotify:artist:6Ff53KvcvAj5U7Z1vojB5o,https://i.scdn.co/image/c56cf0cc89c8ecfec7145cf065ea2006d0706605
pop,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,https://i.scdn.co/image/73fcc215af53b21e738e94e7de4199bd0f7aadee
post-grunge,spotify:artist:6Hizgjo92FnMp8wGaRUNTn,https://i.scdn.co/image/fe9925e3128c7b8723444e76ad509c1a796f5282
rock,spotify:artist:43sZBwHjahUvgbx1WNIkIz,https://i.scdn.co/image/a8e1ecca8c64abce46d504284424b6e910fc0f40
